"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 19 11:58:17 UTC 2024","Fri Jan 19 11:58:17 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Jan 19 11:06:06 UTC 2024","Fri Jan 19 11:06:08 UTC 2024","1523","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Jan 19 02:30:27 UTC 2024","Fri Jan 19 02:30:51 UTC 2024","24391","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Jan 19 03:12:56 UTC 2024","Fri Jan 19 03:12:59 UTC 2024","2708","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jan 19 03:08:40 UTC 2024","Fri Jan 19 03:08:42 UTC 2024","1900","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Jan 19 11:33:58 UTC 2024","Fri Jan 19 11:33:59 UTC 2024","1705","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Fri Jan 19 02:37:39 UTC 2024","Fri Jan 19 02:37:44 UTC 2024","4856","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jan 19 03:06:02 UTC 2024","Fri Jan 19 03:06:23 UTC 2024","21061","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jan 19 02:38:12 UTC 2024","Fri Jan 19 02:38:18 UTC 2024","6741","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Jan 19 03:44:46 UTC 2024","Fri Jan 19 03:45:05 UTC 2024","18297","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Jan 19 11:18:53 UTC 2024","Fri Jan 19 11:19:02 UTC 2024","9609","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Jan 19 11:16:29 UTC 2024","Fri Jan 19 11:16:43 UTC 2024","14549","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Jan 19 11:31:39 UTC 2024","Fri Jan 19 11:32:05 UTC 2024","26312","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Jan 19 03:12:17 UTC 2024","Fri Jan 19 03:12:21 UTC 2024","4425","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jan 19 02:43:33 UTC 2024","Fri Jan 19 02:43:44 UTC 2024","11338","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Jan 19 02:37:28 UTC 2024","Fri Jan 19 02:37:39 UTC 2024","10533","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Jan 19 11:02:48 UTC 2024","Fri Jan 19 11:03:34 UTC 2024","46000","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Jan 19 11:19:02 UTC 2024","Fri Jan 19 11:19:06 UTC 2024","3234","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Jan 19 03:44:28 UTC 2024","Fri Jan 19 03:44:44 UTC 2024","16428","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri Jan 19 02:30:27 UTC 2024","Fri Jan 19 02:30:27 UTC 2024","24","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Jan 19 02:37:44 UTC 2024","Fri Jan 19 02:38:05 UTC 2024","21392","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jan 19 02:43:44 UTC 2024","Fri Jan 19 02:43:48 UTC 2024","3615","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jan 19 11:31:28 UTC 2024","Fri Jan 19 11:31:34 UTC 2024","6271","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Jan 19 11:18:33 UTC 2024","Fri Jan 19 11:18:46 UTC 2024","13369","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Jan 19 03:42:14 UTC 2024","Fri Jan 19 03:42:15 UTC 2024","1214","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Jan 19 03:15:33 UTC 2024","Fri Jan 19 03:15:43 UTC 2024","9303","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Jan 19 03:46:35 UTC 2024","Fri Jan 19 03:46:51 UTC 2024","16076","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Jan 19 02:32:02 UTC 2024","Fri Jan 19 02:32:12 UTC 2024","10483","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Jan 19 03:41:45 UTC 2024","Fri Jan 19 03:42:11 UTC 2024","26558","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Jan 19 11:33:52 UTC 2024","Fri Jan 19 11:33:58 UTC 2024","5569","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Jan 19 03:15:43 UTC 2024","Fri Jan 19 03:15:45 UTC 2024","2796","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jan 19 11:32:37 UTC 2024","Fri Jan 19 11:32:39 UTC 2024","1723","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Jan 19 02:31:37 UTC 2024","Fri Jan 19 02:31:46 UTC 2024","8963","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Jan 19 11:05:42 UTC 2024","Fri Jan 19 11:05:55 UTC 2024","13029","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"broken","Fri Jan 19 11:58:17 UTC 2024","Fri Jan 19 11:58:17 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Jan 19 02:33:01 UTC 2024","Fri Jan 19 02:33:04 UTC 2024","3336","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Jan 19 11:33:49 UTC 2024","Fri Jan 19 11:33:52 UTC 2024","3423","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Fri Jan 19 02:37:10 UTC 2024","Fri Jan 19 02:37:28 UTC 2024","18137","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jan 19 11:10:05 UTC 2024","Fri Jan 19 11:14:14 UTC 2024","249013","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Jan 19 03:08:36 UTC 2024","Fri Jan 19 03:08:40 UTC 2024","3583","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Jan 19 03:05:41 UTC 2024","Fri Jan 19 03:06:02 UTC 2024","21207","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jan 19 02:41:54 UTC 2024","Fri Jan 19 02:42:13 UTC 2024","19273","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"skipped","Fri Jan 19 11:58:17 UTC 2024","Fri Jan 19 11:58:17 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Jan 19 03:07:42 UTC 2024","Fri Jan 19 03:08:35 UTC 2024","52578","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Jan 19 11:20:37 UTC 2024","Fri Jan 19 11:20:45 UTC 2024","8000","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Jan 19 02:39:31 UTC 2024","Fri Jan 19 02:39:34 UTC 2024","3579","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Jan 19 03:42:15 UTC 2024","Fri Jan 19 03:42:26 UTC 2024","11240","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Jan 19 11:05:28 UTC 2024","Fri Jan 19 11:05:32 UTC 2024","3406","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Jan 19 03:41:20 UTC 2024","Fri Jan 19 03:41:33 UTC 2024","13603","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Jan 19 03:53:04 UTC 2024","Fri Jan 19 03:53:07 UTC 2024","2887","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Jan 19 11:18:46 UTC 2024","Fri Jan 19 11:18:52 UTC 2024","6311","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"skipped","Fri Jan 19 11:58:17 UTC 2024","Fri Jan 19 11:58:17 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jan 19 03:44:46 UTC 2024","Fri Jan 19 03:44:46 UTC 2024","187","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Jan 19 03:12:34 UTC 2024","Fri Jan 19 03:12:56 UTC 2024","21665","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Jan 19 03:12:06 UTC 2024","Fri Jan 19 03:12:16 UTC 2024","10620","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Jan 19 02:39:43 UTC 2024","Fri Jan 19 02:39:43 UTC 2024","551","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Jan 19 02:43:48 UTC 2024","Fri Jan 19 02:43:48 UTC 2024","403","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Jan 19 03:06:23 UTC 2024","Fri Jan 19 03:06:29 UTC 2024","6151","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jan 19 11:34:38 UTC 2024","Fri Jan 19 11:35:57 UTC 2024","78989","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Fri Jan 19 03:46:51 UTC 2024","Fri Jan 19 03:46:53 UTC 2024","1523","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Jan 19 03:15:01 UTC 2024","Fri Jan 19 03:15:06 UTC 2024","4802","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Jan 19 02:31:46 UTC 2024","Fri Jan 19 02:32:02 UTC 2024","15505","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Jan 19 11:09:50 UTC 2024","Fri Jan 19 11:10:05 UTC 2024","15734","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Jan 19 03:08:35 UTC 2024","Fri Jan 19 03:08:36 UTC 2024","1389","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Jan 19 11:32:05 UTC 2024","Fri Jan 19 11:32:09 UTC 2024","3796","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
